County,Town,Latitude,Longitude
Baringo,Kabarnet,0.4901,35.7434
Baringo,Mogotio,-0.02236,35.96124
Baringo,Marigat,0.47119,35.98638
Baringo,Eldama Ravine,0.5,35.7167
Bomet,Bomet,-0.7778,35.3357
Bomet,Sotik,-0.57795,35.36583
Bungoma,Bungoma,0.5667,34.5667
Bungoma,Webuye,0.6167,34.7667
Bungoma,Kimilili,0.7833,34.7167
Bungoma,Misikhu,0.718642,34.754742
Bungoma,Bumula,0.552962,34.457371
Bungoma,Sirisia,0.75471,34.50351
Bungoma,Tongaren,0.78487,34.99221
Bungoma,Mount Elgon,0.93329,34.60654
Busia,Busia,0.4633,34.1053
Busia,Malaba,0.63513,34.28165
Busia,Funyula,0.27878,34.11869
Busia,Nambale,0.13333,34.1
Busia,Butula,0.3416124,34.3352003
Busia,Budalangi,0.136227,34.026
Busia,Matayos,0.35958,34.17005
Elgeyo-Marakwet,Iten,0.6731,35.5083
Elgeyo-Marakwet,Kapcherop,1.04026,35.32121
Elgeyo-Marakwet,Tambach,0.59103,35.52166
Elgeyo-Marakwet,Kapsowar,0.948567,35.5084609
Embu,Embu,-0.5389,37.4583
Embu,Runyenjes,-0.42304,37.57043
Embu,Siakago,-0.57728,37.63996
Embu,Kiritiri,-0.68766,37.64805
Garissa,Garissa,-0.4569,39.6583
Garissa,Masalani,-1.69405,40.17015
Garissa,Dadaab,0.0531,40.3086
Garissa,Bura,-3.49974,38.32177
Homa Bay,Homa Bay,-0.5167,34.45
Homa Bay,Mbita,-0.42492,34.20736
Homa Bay,Oyugis,-0.5079,34.7382
Homa Bay,Sindo,-0.54061,34.16891
Homa Bay,Kendu Bay,-0.3667,34.65
Homa Bay,Karachuonyo,-0.37701,34.65028
Homa Bay,Rangwe,-0.60032,34.58353
Homa Bay,Ndhiwa,-0.73148,34.36785
Isiolo,Isiolo,0.35,37.5833
Isiolo,Garba Tula,0.5339,38.5186
Isiolo,Merti,1.06725,38.6662
Kajiado,Kajiado,-1.85,36.7833
Kajiado,Ongata Rongai,-1.4,36.77
Kajiado,Ngong,-1.3667,36.6333
Kajiado,Kitengela,-1.6667,36.9833
Kajiado,Namanga,-2.54,36.8
Kakamega,Kakamega,0.2822,34.754
Kakamega,Mumias,0.3333,34.4833
Kakamega,Butere,0.2167,34.5
Kakamega,Khwisero,0.17124,34.59466
Kakamega,Luanda,0.12444,34.46745
Kericho,Kericho,-0.3692,35.2839
Kericho,Litein,-0.58249,35.18969
Kericho,Kipkelion,-0.19982,35.46735
Kiambu,Kiambu,-1.1667,36.8167
Kiambu,Thika,-1.0396,37.09
Kiambu,Ruiru,-1.17,36.95
Kiambu,Limuru,-1.25,36.65
Kiambu,Kikuyu,-1.25,36.6667
Kiambu,Githunguri,-1.0472,36.9021
Kiambu,Juja,-1.183,37.117
Kiambu,Kabete,-1.2066,36.7689
Kiambu,Lari,-1.02538,36.63087
Kilifi,Kilifi,-3.6333,39.85
Kilifi,Malindi,-3.2236,40.13
Kilifi,Mtwapa,-3.9435,39.7453
Kilifi,Mariakani,-3.87,39.47
Kilifi,Watamu,-3.3425,40.0274
Kilifi,Ganze,-3.54388,39.69277
Kilifi,Kaloleni,-3.81413,39.63144
Kilifi,Rabai,-3.93168,39.57041
Kirinyaga,Kerugoya,-0.4989,37.2803
Kirinyaga,Kutus,-0.5753,37.3269
Kirinyaga,Wanguru,-0.68393,37.35701
Kirinyaga,Sagana,-0.66806,37.20875
Kisii,Kisii,-0.6833,34.7667
Kisii,Ogembo,-0.80116,34.72579
Kisumu,Kisumu,-0.0917,34.768
Kisumu,Muhoroni,-0.15,35.2
Kisumu,Awasi,-0.1616445,35.0732265
